Time,pod_name,container_cpu_cfs_periods_total,container_cpu_system_seconds_total,container_cpu_usage_seconds_total,container_cpu_user_seconds_total,Event
2020-10-14 00:00:00,cnm-grafana-855ff7f889-qfs5p,0.0,0.0012083002191632935,0.006864373430807784,0.005090744410690686,normal
2020-10-14 00:05:00,cnm-grafana-855ff7f889-qfs5p,0.0,0.0011214899512537759,0.007510670688407371,0.005859540133453686,normal
2020-10-14 00:10:00,cnm-grafana-855ff7f889-qfs5p,0.0,0.001258728866582257,0.007691750599136437,0.005880280328651702,normal
2020-10-14 00:15:00,cnm-grafana-855ff7f889-qfs5p,0.0,0.0009816189146070783,0.006952901489035025,0.005492993899029715,normal
2020-10-14 00:20:00,cnm-grafana-855ff7f889-qfs5p,0.0,0.0011796824948977222,0.00724807993894469,0.005343737581594142,normal
2020-10-14 00:25:00,cnm-grafana-855ff7f889-qfs5p,0.0,0.0010301297633954244,0.0064588708884723645,0.005150315766661793,normal
2020-10-14 00:30:00,cnm-grafana-855ff7f889-qfs5p,0.0,0.0012205331927932954,0.007230037956217691,0.0054975932974219216,normal
2020-10-14 00:35:00,cnm-grafana-855ff7f889-qfs5p,0.0,0.0008072826477567977,0.006775506447755557,0.0053377287995276575,normal
2020-10-14 00:40:00,cnm-grafana-855ff7f889-qfs5p,0.0,0.0012632881679831415,0.007116561390398569,0.0054460213855454616,normal
2020-10-14 00:45:00,cnm-grafana-855ff7f889-qfs5p,0.0,0.0010941783589806264,0.006968595772824935,0.005389610893901248,normal
2020-10-14 00:50:00,cnm-grafana-855ff7f889-qfs5p,0.0,0.0009485151999094633,0.006778291177143715,0.005417324802669539,normal
2020-10-14 00:55:00,cnm-grafana-855ff7f889-qfs5p,0.0,0.0011373066870299735,0.007011921681962375,0.005160002561522917,normal
2020-10-14 01:00:00,cnm-grafana-855ff7f889-qfs5p,0.0,0.0012826599363320304,0.008121281499238575,0.00609103798450889,normal
2020-10-14 01:05:00,cnm-grafana-855ff7f889-qfs5p,0.0,0.0012370975802498884,0.007116495197837206,0.00541738329114961,normal
2020-10-14 01:10:00,cnm-grafana-855ff7f889-qfs5p,0.0,0.0011318331943232485,0.007380257576752003,0.005595176097089206,normal
2020-10-14 01:15:00,cnm-grafana-855ff7f889-qfs5p,0.0,0.0013313072432512355,0.0073228347197118815,0.005492585497787942,normal
2020-10-14 01:20:00,cnm-grafana-855ff7f889-qfs5p,0.0,0.0009005533063868571,0.006742278936579687,0.005302422933918029,normal
2020-10-14 01:25:00,cnm-grafana-855ff7f889-qfs5p,0.0,0.0011435587247613193,0.006979499986716375,0.005556643991660411,normal
2020-10-14 01:30:00,cnm-grafana-855ff7f889-qfs5p,0.0,0.001440923344458728,0.007826265980129556,0.005813384307030689,normal
2020-10-14 01:35:00,cnm-grafana-855ff7f889-qfs5p,0.0,0.0009393964001108355,0.006731537641625587,0.005212667354792316,normal
2020-10-14 01:40:00,cnm-grafana-855ff7f889-qfs5p,0.0,0.0012277836406272425,0.007304244001636597,0.005661989004190692,normal
2020-10-14 01:45:00,cnm-grafana-855ff7f889-qfs5p,0.0,0.0010120450593072512,0.006669471027917979,0.005300312050595613,normal
2020-10-14 01:50:00,cnm-grafana-855ff7f889-qfs5p,0.0,0.001034319932899153,0.007178946549231353,0.005477002897084286,normal
2020-10-14 01:55:00,cnm-grafana-855ff7f889-qfs5p,0.0,0.0010599982139667305,0.006732178509293084,0.005193878975430715,normal
2020-10-14 02:00:00,cnm-grafana-855ff7f889-qfs5p,0.0,0.0010044446189216942,0.006775843370310553,0.005388410954630078,normal
2020-10-14 02:05:00,cnm-grafana-855ff7f889-qfs5p,0.0,0.0012495296549219215,0.007033009780642761,0.0053709209403091885,normal
2020-10-14 02:10:00,cnm-grafana-855ff7f889-qfs5p,0.0,0.0009315225498138381,0.006705829234341622,0.005290373536089469,normal
2020-10-14 02:15:00,cnm-grafana-855ff7f889-qfs5p,0.0,0.0012323641954428456,0.007252419134859094,0.005605226055227843,normal
2020-10-14 02:20:00,cnm-grafana-855ff7f889-qfs5p,0.0,0.0011187291167856566,0.007380486166922514,0.0057609269826455105,normal
2020-10-14 02:25:00,cnm-grafana-855ff7f889-qfs5p,0.0,0.0010050866326991592,0.0069903294471289285,0.005132850251524346,normal
2020-10-14 02:30:00,cnm-grafana-855ff7f889-qfs5p,0.0,0.0012117798710932087,0.0068203939036652885,0.004978878733876868,normal
